epoch,loss,ppl,accuracy
167,  0.17516, 1.19144, 98.087
168,  0.16744, 1.18227, 98.156
169,  0.19346, 1.21345, 97.826
170,  0.18866, 1.20763, 98.000
171,  0.20522, 1.22780, 97.691
172,  0.22124, 1.24762, 97.475
173,  0.21958, 1.24555, 97.502
174,  0.22548, 1.25292, 97.438
175,  0.22491, 1.25222, 97.419
176,  0.24113, 1.27268, 97.195
177,  0.23144, 1.26042, 97.363
178,  0.22927, 1.25768, 97.337
179,  0.24107, 1.27260, 97.243
180,  0.25144, 1.28587, 97.003
181,  0.22174, 1.24824, 97.426
182,  0.22576, 1.25327, 97.371
183,  0.24701, 1.28019, 97.109
184,  0.22259, 1.24931, 97.415
185,  0.22518, 1.25255, 97.407
186,  0.22419, 1.25131, 97.317
187,  0.23447, 1.26424, 97.227
188,  0.23202, 1.26114, 97.250
189,  0.23558, 1.26564, 97.200
190,  0.21358, 1.23811, 97.534
191,  0.23417, 1.26386, 97.222
192,  0.21639, 1.24158, 97.485
193,  0.21819, 1.24382, 97.438
194,  0.21356, 1.23807, 97.478
195,  0.23304, 1.26244, 97.267
196,  0.22280, 1.24957, 97.394
197,  0.22418, 1.25129, 97.351
198,  0.23112, 1.26001, 97.321
199,  0.21255, 1.23683, 97.492
