epoch,loss,ppl,accuracy
167,  0.21646, 1.24168, 97.488
168,  0.23688, 1.26729, 97.098
169,  0.24039, 1.27175, 97.124
170,  0.25439, 1.28968, 96.930
171,  0.25173, 1.28625, 96.941
172,  0.27598, 1.31782, 96.564
173,  0.28162, 1.32527, 96.573
174,  0.27382, 1.31498, 96.695
175,  0.29663, 1.34532, 96.238
176,  0.29851, 1.34784, 96.190
177,  0.30686, 1.35915, 96.150
178,  0.30649, 1.35865, 96.119
179,  0.28844, 1.33434, 96.394
180,  0.28554, 1.33048, 96.459
181,  0.28240, 1.32631, 96.384
182,  0.28811, 1.33390, 96.300
183,  0.29098, 1.33774, 96.292
184,  0.28468, 1.32934, 96.422
185,  0.26903, 1.30870, 96.561
186,  0.27966, 1.32269, 96.425
187,  0.28734, 1.33288, 96.282
188,  0.27123, 1.31157, 96.533
189,  0.27607, 1.31794, 96.559
190,  0.26226, 1.29987, 96.700
191,  0.25837, 1.29482, 96.710
192,  0.27041, 1.31050, 96.505
193,  0.29211, 1.33925, 96.252
194,  0.27379, 1.31494, 96.465
195,  0.26736, 1.30651, 96.606
196,  0.27056, 1.31070, 96.568
197,  0.27219, 1.31284, 96.487
198,  0.27528, 1.31691, 96.465
199,  0.26662, 1.30555, 96.650
